dataset	method	lang	lm	sentence_count	glossary_target_forms	total_terms	exact_correct	exact_accuracy	orthographic_correct	orthographic_accuracy	lemma_correct	lemma_accuracy	form_aware_correct	form_aware_accuracy	match_kinds	instances_log
acl_tagged_raw	InfiniSST	zh	1	468	191	890	640	0.7191011235955056	647	0.7269662921348314	640	0.7191011235955056	647	0.7269662921348314	{'casefold_or_compound': 6, 'exact': 640, 'miss': 243, 'spacing_hyphen_or_width': 1}	/mnt/taurus/data2/jiaxuanluo/RASST/docs/results/main_result_global_cache30_30_20_20/artifacts/acl_tagged_raw_infinisst_zh/lm1/instances.log
acl_tagged_raw	InfiniSST	zh	2	468	191	890	669	0.751685393258427	678	0.7617977528089888	669	0.751685393258427	678	0.7617977528089888	{'casefold_or_compound': 8, 'exact': 669, 'miss': 212, 'spacing_hyphen_or_width': 1}	/mnt/taurus/data2/jiaxuanluo/RASST/docs/results/main_result_global_cache30_30_20_20/artifacts/acl_tagged_raw_infinisst_zh/lm2/instances.log
acl_tagged_raw	InfiniSST	zh	3	468	191	890	659	0.7404494382022472	665	0.7471910112359551	659	0.7404494382022472	665	0.7471910112359551	{'casefold_or_compound': 4, 'exact': 659, 'miss': 225, 'spacing_hyphen_or_width': 2}	/mnt/taurus/data2/jiaxuanluo/RASST/docs/results/main_result_global_cache30_30_20_20/artifacts/acl_tagged_raw_infinisst_zh/lm3/instances.log
acl_tagged_raw	InfiniSST	zh	4	468	191	890	672	0.755056179775281	682	0.7662921348314606	672	0.755056179775281	682	0.7662921348314606	{'casefold_or_compound': 8, 'exact': 672, 'miss': 208, 'spacing_hyphen_or_width': 2}	/mnt/taurus/data2/jiaxuanluo/RASST/docs/results/main_result_global_cache30_30_20_20/artifacts/acl_tagged_raw_infinisst_zh/lm4/instances.log
acl_tagged_raw	InfiniSST	ja	1	468	201	940	587	0.624468085106383	588	0.625531914893617	587	0.624468085106383	588	0.625531914893617	{'casefold_or_compound': 1, 'exact': 587, 'miss': 352}	/mnt/taurus/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/acl6060_de_ja_results/ja/seg960/instances.log
acl_tagged_raw	InfiniSST	ja	2	468	201	940	620	0.6595744680851063	623	0.6627659574468086	620	0.6595744680851063	623	0.6627659574468086	{'casefold_or_compound': 2, 'exact': 620, 'miss': 317, 'spacing_hyphen_or_width': 1}	/mnt/taurus/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/acl6060_de_ja_results/ja/seg1920/instances.log
acl_tagged_raw	InfiniSST	ja	3	468	201	940	622	0.6617021276595745	627	0.6670212765957447	622	0.6617021276595745	627	0.6670212765957447	{'casefold_or_compound': 4, 'exact': 622, 'miss': 313, 'spacing_hyphen_or_width': 1}	/mnt/taurus/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/acl6060_de_ja_results/ja/seg2880/instances.log
acl_tagged_raw	InfiniSST	ja	4	468	201	940	642	0.6829787234042554	646	0.6872340425531915	642	0.6829787234042554	646	0.6872340425531915	{'casefold_or_compound': 3, 'exact': 642, 'miss': 294, 'spacing_hyphen_or_width': 1}	/mnt/taurus/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/acl6060_de_ja_results/ja/seg3840/instances.log
acl_tagged_raw	InfiniSST	de	1	468	230	935	568	0.6074866310160428	623	0.6663101604278074	583	0.6235294117647059	638	0.6823529411764706	{'casefold_or_compound': 44, 'exact': 568, 'german_lemma_sequence': 15, 'miss': 297, 'spacing_hyphen_or_width': 11}	/mnt/taurus/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/acl6060_de_ja_results/de/seg960/instances.log
acl_tagged_raw	InfiniSST	de	2	468	230	935	632	0.6759358288770053	686	0.7336898395721925	642	0.6866310160427808	696	0.7443850267379679	{'casefold_boundary': 1, 'casefold_or_compound': 49, 'exact': 632, 'german_lemma_sequence': 10, 'miss': 239, 'spacing_hyphen_or_width': 4}	/mnt/taurus/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/acl6060_de_ja_results/de/seg1920/instances.log
