timestamp_utc	lm	status	alive_pids	engine_pids_all	stage	eval_results	instances_rows	strip_rows	BLEU	StreamLAAL	StreamLAAL_CA	TERM_ACC	TERM_CORRECT	TERM_TOTAL	note
2026-05-25T02:08:33Z	1	error	644919	606446,645232,653672	error_seen_in_log										Traceback
2026-05-25T02:08:34Z	2	running	605652	606446,645232	generation_step_314_ready_4_active_4										
2026-05-25T02:08:34Z	3	done		606446,645232	completed_eval_results	/mnt/gemini/data1/jiaxuanluo/tagged_acl_same_lm_batch_v1_new_v10_s50_hn1024_tau079_raw_de_lm1to4_20260525T0131_tagacl_newv10_s50_hn1024_tau079_raw_de_lm1to4/new_v10_s50_no_gt_retrieved_oldnewv3_de_r32a64_hn1024_tau079_same_lm_batch_v1/de/dtagacl_bv1_newv10_s50_hn1024_tau079_lm3_k10_th0.79_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	5	5	29.5751041465027	2132.9619446819083	951.6283299605822	0.8118	759	935	
2026-05-25T02:08:35Z	4	done		606446,645232	completed_eval_results	/mnt/gemini/data1/jiaxuanluo/tagged_acl_same_lm_batch_v1_new_v10_s50_hn1024_tau079_raw_de_lm1to4_20260525T0131_tagacl_newv10_s50_hn1024_tau079_raw_de_lm1to4/new_v10_s50_no_gt_retrieved_oldnewv3_de_r32a64_hn1024_tau079_same_lm_batch_v1/de/dtagacl_bv1_newv10_s50_hn1024_tau079_lm4_k10_th0.79_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	5	5	29.17661049263311	2567.2804132567517	810.991373955562	0.8267	773	935	
2026-05-25T02:09:35Z	1	error	644919	606446,645232	error_seen_in_log										Traceback
2026-05-25T02:09:36Z	2	running	605652	606446,645232	generation_step_358_ready_4_active_4										
2026-05-25T02:09:36Z	3	done		606446,645232	completed_eval_results	/mnt/gemini/data1/jiaxuanluo/tagged_acl_same_lm_batch_v1_new_v10_s50_hn1024_tau079_raw_de_lm1to4_20260525T0131_tagacl_newv10_s50_hn1024_tau079_raw_de_lm1to4/new_v10_s50_no_gt_retrieved_oldnewv3_de_r32a64_hn1024_tau079_same_lm_batch_v1/de/dtagacl_bv1_newv10_s50_hn1024_tau079_lm3_k10_th0.79_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	5	5	29.5751041465027	2132.9619446819083	951.6283299605822	0.8118	759	935	
2026-05-25T02:09:36Z	4	done		606446,645232	completed_eval_results	/mnt/gemini/data1/jiaxuanluo/tagged_acl_same_lm_batch_v1_new_v10_s50_hn1024_tau079_raw_de_lm1to4_20260525T0131_tagacl_newv10_s50_hn1024_tau079_raw_de_lm1to4/new_v10_s50_no_gt_retrieved_oldnewv3_de_r32a64_hn1024_tau079_same_lm_batch_v1/de/dtagacl_bv1_newv10_s50_hn1024_tau079_lm4_k10_th0.79_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	5	5	29.17661049263311	2567.2804132567517	810.991373955562	0.8267	773	935	
2026-05-25T02:10:37Z	1	error	644919	645232	error_seen_in_log										Traceback
2026-05-25T02:10:37Z	2	done		645232	completed_eval_results	/mnt/gemini/data1/jiaxuanluo/tagged_acl_same_lm_batch_v1_new_v10_s50_hn1024_tau079_raw_de_lm1to4_20260525T0131_tagacl_newv10_s50_hn1024_tau079_raw_de_lm1to4/new_v10_s50_no_gt_retrieved_oldnewv3_de_r32a64_hn1024_tau079_same_lm_batch_v1/de/dtagacl_bv1_newv10_s50_hn1024_tau079_lm2_k10_th0.79_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	5	5	28.1309362660889	1568.1770061228015	1190.159107498574	0.8032	751	935	
2026-05-25T02:10:38Z	3	done		645232	completed_eval_results	/mnt/gemini/data1/jiaxuanluo/tagged_acl_same_lm_batch_v1_new_v10_s50_hn1024_tau079_raw_de_lm1to4_20260525T0131_tagacl_newv10_s50_hn1024_tau079_raw_de_lm1to4/new_v10_s50_no_gt_retrieved_oldnewv3_de_r32a64_hn1024_tau079_same_lm_batch_v1/de/dtagacl_bv1_newv10_s50_hn1024_tau079_lm3_k10_th0.79_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	5	5	29.5751041465027	2132.9619446819083	951.6283299605822	0.8118	759	935	
2026-05-25T02:10:38Z	4	done		645232	completed_eval_results	/mnt/gemini/data1/jiaxuanluo/tagged_acl_same_lm_batch_v1_new_v10_s50_hn1024_tau079_raw_de_lm1to4_20260525T0131_tagacl_newv10_s50_hn1024_tau079_raw_de_lm1to4/new_v10_s50_no_gt_retrieved_oldnewv3_de_r32a64_hn1024_tau079_same_lm_batch_v1/de/dtagacl_bv1_newv10_s50_hn1024_tau079_lm4_k10_th0.79_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	5	5	29.17661049263311	2567.2804132567517	810.991373955562	0.8267	773	935	
